time_seconds,time_between_measurements,temperature_c,total_volume,volume_delta,concentration,ph,net_charge
5352.3,22.0,20.0,2525.2,0.1,4.989704,11.516,-3.0513982e-05
5373.0,21.0,20.0,2525.3,0.1,5.009306,11.51,-3.0350631e-05
5393.7,21.0,20.0,2525.4,0.1,5.028906,11.506,-3.0226033e-05
5414.3,20.0,20.0,2525.5,0.1,5.048505,11.502,-3.0102116e-05
5435.0,21.0,20.0,2525.6,0.1,5.068103,11.497,-2.9960589e-05
5457.3,22.0,20.0,2525.7,0.1,5.087698,11.492,-2.9820106e-05
5477.9,21.0,20.0,2525.8,0.1,5.107293,11.487,-2.9680656e-05
5498.6,21.0,20.0,2525.9,0.1,5.126885,11.483,-2.9559892e-05
5519.3,20.0,20.0,2526.0,0.1,5.146477,11.479,-2.9439773e-05
5540.0,21.0,20.0,2526.1,0.1,5.166066,11.474,-2.930295e-05
5562.3,22.0,20.0,2526.2,0.1,5.185654,11.468,-2.9150011e-05
5583.0,21.0,20.0,2526.3,0.1,5.205241,11.464,-2.9032265e-05
5603.6,21.0,20.0,2526.4,0.1,5.224826,11.459,-2.8898379e-05
5624.3,20.0,20.0,2526.5,0.1,5.244409,11.453,-2.8748922e-05
5645.0,21.0,20.0,2526.6,0.1,5.263991,11.448,-2.8617129e-05
5667.3,22.0,20.0,2526.7,0.1,5.283571,11.443,-2.8486268e-05
5687.9,21.0,20.0,2526.8,0.1,5.30315,11.439,-2.8372299e-05
5708.6,21.0,20.0,2526.9,0.1,5.322727,11.433,-2.8227303e-05
5729.3,20.0,20.0,2527.0,0.1,5.342303,11.428,-2.8099178e-05
5750.0,21.0,20.0,2527.1,0.1,5.361877,11.422,-2.7956551e-05
5772.3,22.0,20.0,2527.2,0.1,5.38145,11.417,-2.7830374e-05
5792.9,21.0,20.0,2527.3,0.1,5.401021,11.412,-2.7705066e-05
5813.6,21.0,20.0,2527.4,0.1,5.42059,11.406,-2.7565779e-05
5834.3,20.0,20.0,2527.5,0.1,5.440158,11.4,-2.7427713e-05
5854.9,21.0,20.0,2527.6,0.1,5.459725,11.395,-2.7305287e-05
5877.3,22.0,20.0,2527.7,0.1,5.479289,11.39,-2.7183688e-05
5897.9,21.0,20.0,2527.8,0.1,5.498853,11.383,-2.7034722e-05
5918.6,21.0,20.0,2527.9,0.1,5.518414,11.378,-2.6915068e-05
5939.2,20.0,20.0,2528.0,0.1,5.537975,11.372,-2.6782485e-05
5959.9,21.0,20.0,2528.1,0.1,5.557533,11.366,-2.6651031e-05
5982.3,22.0,20.0,2528.2,0.1,5.57709,11.359,-2.6507371e-05
6002.9,21.0,20.0,2528.3,0.1,5.596646,11.353,-2.6378313e-05
6023.6,21.0,20.0,2528.4,0.1,5.6162,11.347,-2.6250337e-05
6044.3,20.0,20.0,2528.5,0.1,5.635752,11.341,-2.6123427e-05
6064.9,21.0,20.0,2528.6,0.1,5.655303,11.334,-2.5984993e-05
6087.3,22.0,20.0,2528.7,0.1,5.674853,11.327,-2.5847968e-05
6108.0,21.0,20.0,2528.8,0.1,5.694401,11.322,-2.5736719e-05
6128.7,21.0,20.0,2528.9,0.1,5.713947,11.314,-2.5590047e-05
6149.3,20.0,20.0,2529.0,0.1,5.733491,11.307,-2.545693e-05
6170.0,21.0,20.0,2529.1,0.1,5.753035,11.301,-2.5336771e-05
6192.3,22.0,20.0,2529.2,0.1,5.772576,11.294,-2.5206098e-05
6213.0,21.0,20.0,2529.3,0.1,5.792116,11.286,-2.5065448e-05
6233.6,21.0,20.0,2529.4,0.1,5.811655,11.279,-2.4937507e-05
6254.3,20.0,20.0,2529.5,0.1,5.831192,11.272,-2.4810811e-05
6275.0,21.0,20.0,2529.6,0.1,5.850727,11.265,-2.4685337e-05
6297.3,22.0,20.0,2529.7,0.1,5.870261,11.257,-2.4550528e-05
6317.9,21.0,20.0,2529.8,0.1,5.889794,11.249,-2.4417265e-05
6338.6,21.0,20.0,2529.9,0.1,5.909324,11.241,-2.4285517e-05
6359.2,20.0,20.0,2530.0,0.1,5.928854,11.234,-2.4165232e-05
6380.0,21.0,20.0,2530.1,0.1,5.948381,11.226,-2.4036254e-05
6402.3,22.0,20.0,2530.2,0.1,5.967908,11.218,-2.3908714e-05
6422.9,21.0,20.0,2530.3,0.1,5.987432,11.21,-2.3782586e-05
6443.6,20.0,20.0,2530.4,0.1,6.006955,11.202,-2.3657845e-05
6464.3,21.0,20.0,2530.5,0.1,6.026477,11.193,-2.3525368e-05
6484.9,21.0,20.0,2530.6,0.1,6.045997,11.185,-2.340349e-05
6507.3,22.0,20.0,2530.7,0.1,6.065515,11.176,-2.3274172e-05
